"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"perjantai 1.4.2022 00:00";"4,22";"Ei kulutustietoja tällä ajanjaksolla.";"-4,80"
"perjantai 1.4.2022 01:00";"1,50";"Ei kulutustietoja tällä ajanjaksolla.";"-5,10"
"perjantai 1.4.2022 02:00";"4,91";"Ei kulutustietoja tällä ajanjaksolla.";"-5,70"
"perjantai 1.4.2022 03:00";"2,54";"Ei kulutustietoja tällä ajanjaksolla.";"-6,20"
"perjantai 1.4.2022 04:00";"4,88";"Ei kulutustietoja tällä ajanjaksolla.";"-6,50"
"perjantai 1.4.2022 05:00";"2,37";"Ei kulutustietoja tällä ajanjaksolla.";"-7,00"
"perjantai 1.4.2022 06:00";"3,67";"Ei kulutustietoja tällä ajanjaksolla.";"-7,40"
"perjantai 1.4.2022 07:00";"5,94";"Ei kulutustietoja tällä ajanjaksolla.";"-7,10"
"perjantai 1.4.2022 08:00";"4,11";"Ei kulutustietoja tällä ajanjaksolla.";"-5,50"
"perjantai 1.4.2022 09:00";"1,54";"Ei kulutustietoja tällä ajanjaksolla.";"-3,80"
"perjantai 1.4.2022 10:00";"1,38";"Ei kulutustietoja tällä ajanjaksolla.";"-2,20"
"perjantai 1.4.2022 11:00";"2,78";"Ei kulutustietoja tällä ajanjaksolla.";"0,00"
"perjantai 1.4.2022 12:00";"1,41";"Ei kulutustietoja tällä ajanjaksolla.";"1,00"
"perjantai 1.4.2022 13:00";"0,64";"Ei kulutustietoja tällä ajanjaksolla.";"2,30"
"perjantai 1.4.2022 14:00";"0,64";"Ei kulutustietoja tällä ajanjaksolla.";"1,50"
"perjantai 1.4.2022 15:00";"2,03";"Ei kulutustietoja tällä ajanjaksolla.";"2,20"
"perjantai 1.4.2022 16:00";"1,33";"Ei kulutustietoja tällä ajanjaksolla.";"2,50"
"perjantai 1.4.2022 17:00";"0,82";"Ei kulutustietoja tällä ajanjaksolla.";"5,80"
"perjantai 1.4.2022 18:00";"0,87";"Ei kulutustietoja tällä ajanjaksolla.";"2,70"
"perjantai 1.4.2022 19:00";"4,14";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"perjantai 1.4.2022 20:00";"3,64";"Ei kulutustietoja tällä ajanjaksolla.";"-1,40"
"perjantai 1.4.2022 21:00";"1,79";"Ei kulutustietoja tällä ajanjaksolla.";"-1,60"
"perjantai 1.4.2022 22:00";"2,08";"Ei kulutustietoja tällä ajanjaksolla.";"-2,70"
"perjantai 1.4.2022 23:00";"2,09";"Ei kulutustietoja tällä ajanjaksolla.";"-3,90"
"lauantai 2.4.2022 00:00";"1,40";"Ei kulutustietoja tällä ajanjaksolla.";"-4,60"
"lauantai 2.4.2022 01:00";"4,70";"Ei kulutustietoja tällä ajanjaksolla.";"-5,10"
"lauantai 2.4.2022 02:00";"1,89";"Ei kulutustietoja tällä ajanjaksolla.";"-5,60"
"lauantai 2.4.2022 03:00";"3,01";"Ei kulutustietoja tällä ajanjaksolla.";"-6,10"
"lauantai 2.4.2022 04:00";"3,98";"Ei kulutustietoja tällä ajanjaksolla.";"-6,50"
"lauantai 2.4.2022 05:00";"3,50";"Ei kulutustietoja tällä ajanjaksolla.";"-7,00"
"lauantai 2.4.2022 06:00";"3,96";"Ei kulutustietoja tällä ajanjaksolla.";"-7,20"
"lauantai 2.4.2022 07:00";"2,42";"Ei kulutustietoja tällä ajanjaksolla.";"-7,10"
"lauantai 2.4.2022 08:00";"5,86";"Ei kulutustietoja tällä ajanjaksolla.";"-5,10"
"lauantai 2.4.2022 09:00";"2,96";"Ei kulutustietoja tällä ajanjaksolla.";"-3,50"
"lauantai 2.4.2022 10:00";"1,64";"Ei kulutustietoja tällä ajanjaksolla.";"-2,00"
"lauantai 2.4.2022 11:00";"1,29";"Ei kulutustietoja tällä ajanjaksolla.";"-0,50"
"lauantai 2.4.2022 12:00";"2,46";"Ei kulutustietoja tällä ajanjaksolla.";"0,40"
"lauantai 2.4.2022 13:00";"0,97";"Ei kulutustietoja tällä ajanjaksolla.";"1,00"
"lauantai 2.4.2022 14:00";"0,84";"Ei kulutustietoja tällä ajanjaksolla.";"2,50"
"lauantai 2.4.2022 15:00";"0,78";"Ei kulutustietoja tällä ajanjaksolla.";"2,80"
"lauantai 2.4.2022 16:00";"0,93";"Ei kulutustietoja tällä ajanjaksolla.";"3,30"
"lauantai 2.4.2022 17:00";"1,69";"Ei kulutustietoja tällä ajanjaksolla.";"6,80"
"lauantai 2.4.2022 18:00";"2,74";"Ei kulutustietoja tällä ajanjaksolla.";"4,20"
"lauantai 2.4.2022 19:00";"1,22";"Ei kulutustietoja tällä ajanjaksolla.";"1,10"
"lauantai 2.4.2022 20:00";"1,12";"Ei kulutustietoja tällä ajanjaksolla.";"-0,90"
"lauantai 2.4.2022 21:00";"1,45";"Ei kulutustietoja tällä ajanjaksolla.";"-1,60"
"lauantai 2.4.2022 22:00";"2,88";"Ei kulutustietoja tällä ajanjaksolla.";"-2,00"
"lauantai 2.4.2022 23:00";"1,17";"Ei kulutustietoja tällä ajanjaksolla.";"-2,70"
"sunnuntai 3.4.2022 00:00";"5,02";"Ei kulutustietoja tällä ajanjaksolla.";"-2,90"
"sunnuntai 3.4.2022 01:00";"1,97";"Ei kulutustietoja tällä ajanjaksolla.";"-2,40"
"sunnuntai 3.4.2022 02:00";"1,07";"Ei kulutustietoja tällä ajanjaksolla.";"-2,90"
"sunnuntai 3.4.2022 03:00";"1,36";"Ei kulutustietoja tällä ajanjaksolla.";"-3,40"
"sunnuntai 3.4.2022 04:00";"3,15";"Ei kulutustietoja tällä ajanjaksolla.";"-3,70"
"sunnuntai 3.4.2022 05:00";"3,01";"Ei kulutustietoja tällä ajanjaksolla.";"-4,00"
"sunnuntai 3.4.2022 06:00";"1,50";"Ei kulutustietoja tällä ajanjaksolla.";"-4,40"
"sunnuntai 3.4.2022 07:00";"4,25";"Ei kulutustietoja tällä ajanjaksolla.";"-4,20"
"sunnuntai 3.4.2022 08:00";"3,68";"Ei kulutustietoja tällä ajanjaksolla.";"-2,40"
"sunnuntai 3.4.2022 09:00";"3,87";"Ei kulutustietoja tällä ajanjaksolla.";"-0,70"
"sunnuntai 3.4.2022 10:00";"1,63";"Ei kulutustietoja tällä ajanjaksolla.";"0,40"
"sunnuntai 3.4.2022 11:00";"1,14";"Ei kulutustietoja tällä ajanjaksolla.";"1,50"
"sunnuntai 3.4.2022 12:00";"0,69";"Ei kulutustietoja tällä ajanjaksolla.";"2,90"
"sunnuntai 3.4.2022 13:00";"0,70";"Ei kulutustietoja tällä ajanjaksolla.";"4,50"
"sunnuntai 3.4.2022 14:00";"0,85";"Ei kulutustietoja tällä ajanjaksolla.";"3,20"
"sunnuntai 3.4.2022 15:00";"2,79";"Ei kulutustietoja tällä ajanjaksolla.";"4,70"
"sunnuntai 3.4.2022 16:00";"2,33";"Ei kulutustietoja tällä ajanjaksolla.";"5,20"
"sunnuntai 3.4.2022 17:00";"6,31";"Ei kulutustietoja tällä ajanjaksolla.";"6,60"
"sunnuntai 3.4.2022 18:00";"3,85";"Ei kulutustietoja tällä ajanjaksolla.";"4,10"
"sunnuntai 3.4.2022 19:00";"2,77";"Ei kulutustietoja tällä ajanjaksolla.";"2,60"
"sunnuntai 3.4.2022 20:00";"1,49";"Ei kulutustietoja tällä ajanjaksolla.";"0,80"
"sunnuntai 3.4.2022 21:00";"0,87";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"sunnuntai 3.4.2022 22:00";"1,18";"Ei kulutustietoja tällä ajanjaksolla.";"0,70"
"sunnuntai 3.4.2022 23:00";"1,10";"Ei kulutustietoja tällä ajanjaksolla.";"0,50"
"maanantai 4.4.2022 00:00";"1,71";"0,00";"0,30"
"maanantai 4.4.2022 01:00";"1,17";"0,00";"0,20"
"maanantai 4.4.2022 02:00";"1,75";"0,00";"-0,60"
"maanantai 4.4.2022 03:00";"1,17";"0,00";"-0,70"
"maanantai 4.4.2022 04:00";"1,20";"0,00";"-0,60"
"maanantai 4.4.2022 05:00";"1,20";"0,00";"-0,60"
"maanantai 4.4.2022 06:00";"1,14";"0,00";"-0,40"
"maanantai 4.4.2022 07:00";"3,46";"0,00";"0,30"
"maanantai 4.4.2022 08:00";"1,74";"0,00";"0,60"
"maanantai 4.4.2022 09:00";"1,28";"0,00";"0,80"
"maanantai 4.4.2022 10:00";"1,23";"0,00";"1,50"
"maanantai 4.4.2022 11:00";"1,28";"0,00";"1,90"
"maanantai 4.4.2022 12:00";"1,48";"0,00";"2,20"
"maanantai 4.4.2022 13:00";"1,22";"0,00";"2,40"
"maanantai 4.4.2022 14:00";"1,21";"0,00";"2,70"
"maanantai 4.4.2022 15:00";"1,88";"0,00";"2,50"
"maanantai 4.4.2022 16:00";"1,32";"0,00";"2,00"
"maanantai 4.4.2022 17:00";"1,09";"0,00";"2,20"
"maanantai 4.4.2022 18:00";"1,43";"0,00";"1,70"
"maanantai 4.4.2022 19:00";"2,21";"0,00";"1,10"
"maanantai 4.4.2022 20:00";"1,53";"0,00";"0,80"
"maanantai 4.4.2022 21:00";"2,04";"0,00";"0,70"
"maanantai 4.4.2022 22:00";"1,50";"0,00";"0,70"
"maanantai 4.4.2022 23:00";"0,87";"0,00";"0,60"
"tiistai 5.4.2022 00:00";"1,03";"0,00";"0,60"
"tiistai 5.4.2022 01:00";"1,18";"0,00";"0,60"
"tiistai 5.4.2022 02:00";"1,15";"0,00";"0,50"
"tiistai 5.4.2022 03:00";"1,12";"0,00";"0,70"
"tiistai 5.4.2022 04:00";"1,09";"0,00";"0,60"
"tiistai 5.4.2022 05:00";"1,12";"0,00";"0,50"
"tiistai 5.4.2022 06:00";"1,14";"0,00";"0,60"
"tiistai 5.4.2022 07:00";"3,32";"0,00";"0,60"
"tiistai 5.4.2022 08:00";"2,62";"0,00";"0,30"
"tiistai 5.4.2022 09:00";"1,51";"0,00";"-1,00"
"tiistai 5.4.2022 10:00";"1,89";"0,00";"-1,40"
"tiistai 5.4.2022 11:00";"1,88";"0,00";"-1,60"
"tiistai 5.4.2022 12:00";"1,85";"0,00";"-1,60"
"tiistai 5.4.2022 13:00";"3,83";"0,00";"-1,60"
"tiistai 5.4.2022 14:00";"2,02";"0,00";"-1,50"
"tiistai 5.4.2022 15:00";"1,23";"0,00";"-1,40"
"tiistai 5.4.2022 16:00";"1,49";"0,00";"-1,10"
"tiistai 5.4.2022 17:00";"3,31";"0,00";"-0,50"
"tiistai 5.4.2022 18:00";"1,35";"0,00";"-0,60"
"tiistai 5.4.2022 19:00";"3,46";"0,00";"-1,70"
"tiistai 5.4.2022 20:00";"2,25";"0,00";"-2,50"
"tiistai 5.4.2022 21:00";"1,58";"0,00";"-3,30"
"tiistai 5.4.2022 22:00";"1,92";"0,00";"-3,90"
"tiistai 5.4.2022 23:00";"1,35";"0,00";"-5,00"
"keskiviikko 6.4.2022 00:00";"5,07";"0,00";"-5,80"
"keskiviikko 6.4.2022 01:00";"1,39";"0,00";"-5,20"
"keskiviikko 6.4.2022 02:00";"3,12";"0,00";"-4,90"
"keskiviikko 6.4.2022 03:00";"3,08";"0,00";"-5,50"
"keskiviikko 6.4.2022 04:00";"1,55";"0,00";"-6,30"
"keskiviikko 6.4.2022 05:00";"4,71";"0,00";"-6,00"
"keskiviikko 6.4.2022 06:00";"1,99";"0,00";"-5,60"
"keskiviikko 6.4.2022 07:00";"2,62";"0,00";"-5,90"
"keskiviikko 6.4.2022 08:00";"5,25";"0,00";"-4,00"
"keskiviikko 6.4.2022 09:00";"2,45";"0,00";"-2,30"
"keskiviikko 6.4.2022 10:00";"1,39";"0,00";"-1,00"
"keskiviikko 6.4.2022 11:00";"2,64";"0,00";"-0,70"
"keskiviikko 6.4.2022 12:00";"1,98";"0,00";"0,00"
"keskiviikko 6.4.2022 13:00";"0,24";"0,00";"0,80"
"keskiviikko 6.4.2022 14:00";"0,99";"0,00";"1,60"
"keskiviikko 6.4.2022 15:00";"0,25";"0,00";"2,40"
"keskiviikko 6.4.2022 16:00";"0,59";"0,00";"2,40"
"keskiviikko 6.4.2022 17:00";"0,67";"0,00";"5,10"
"keskiviikko 6.4.2022 18:00";"0,29";"0,00";"4,20"
"keskiviikko 6.4.2022 19:00";"2,85";"0,00";"0,90"
"keskiviikko 6.4.2022 20:00";"1,38";"0,00";"-0,40"
"keskiviikko 6.4.2022 21:00";"1,39";"0,00";"-0,90"
"keskiviikko 6.4.2022 22:00";"1,12";"0,00";"-0,90"
"keskiviikko 6.4.2022 23:00";"1,21";"0,00";"-1,60"
"torstai 7.4.2022 00:00";"1,87";"0,00";"-2,20"
"torstai 7.4.2022 01:00";"1,31";"0,00";"-2,70"
"torstai 7.4.2022 02:00";"4,69";"0,00";"-3,40"
"torstai 7.4.2022 03:00";"1,41";"0,00";"-3,70"
"torstai 7.4.2022 04:00";"1,35";"0,00";"-3,60"
"torstai 7.4.2022 05:00";"3,50";"0,00";"-3,00"
"torstai 7.4.2022 06:00";"2,22";"0,00";"-1,80"
"torstai 7.4.2022 07:00";"1,52";"0,00";"-1,20"
"torstai 7.4.2022 08:00";"3,00";"0,00";"-0,10"
"torstai 7.4.2022 09:00";"0,00";"0,11";"0,60"
"torstai 7.4.2022 10:00";"0,00";"0,22";"1,60"
"torstai 7.4.2022 11:00";"0,00";"0,37";"2,80"
"torstai 7.4.2022 12:00";"0,77";"0,00";"3,50"
"torstai 7.4.2022 13:00";"0,16";"0,00";"4,00"
"torstai 7.4.2022 14:00";"0,00";"0,04";"3,90"
"torstai 7.4.2022 15:00";"0,73";"0,00";"3,30"
"torstai 7.4.2022 16:00";"0,97";"0,00";"2,60"
"torstai 7.4.2022 17:00";"1,66";"0,00";"2,40"
"torstai 7.4.2022 18:00";"1,26";"0,00";"2,20"
"torstai 7.4.2022 19:00";"2,97";"0,00";"1,60"
"torstai 7.4.2022 20:00";"1,37";"0,00";"1,20"
"torstai 7.4.2022 21:00";"1,32";"0,00";"0,80"
"torstai 7.4.2022 22:00";"1,25";"0,00";"0,70"
"torstai 7.4.2022 23:00";"1,19";"0,00";"0,80"
"perjantai 8.4.2022 00:00";"1,06";"0,00";"1,10"
"perjantai 8.4.2022 01:00";"1,05";"0,00";"1,70"
"perjantai 8.4.2022 02:00";"1,08";"0,00";"2,30"
"perjantai 8.4.2022 03:00";"5,21";"0,00";"2,80"
"perjantai 8.4.2022 04:00";"2,06";"0,00";"3,30"
"perjantai 8.4.2022 05:00";"0,95";"0,00";"3,70"
"perjantai 8.4.2022 06:00";"1,10";"0,00";"3,10"
"perjantai 8.4.2022 07:00";"2,47";"0,00";"2,50"
"perjantai 8.4.2022 08:00";"0,66";"0,00";"2,50"
"perjantai 8.4.2022 09:00";"1,45";"0,00";"2,60"
"perjantai 8.4.2022 10:00";"0,44";"0,00";"3,00"
"perjantai 8.4.2022 11:00";"0,40";"0,00";"3,60"
"perjantai 8.4.2022 12:00";"0,49";"0,00";"3,80"
"perjantai 8.4.2022 13:00";"0,03";"0,00";"4,20"
"perjantai 8.4.2022 14:00";"0,31";"0,00";"4,20"
"perjantai 8.4.2022 15:00";"1,01";"0,00";"3,80"
"perjantai 8.4.2022 16:00";"1,86";"0,00";"3,00"
"perjantai 8.4.2022 17:00";"1,07";"0,00";"2,30"
"perjantai 8.4.2022 18:00";"1,06";"0,00";"1,90"
"perjantai 8.4.2022 19:00";"1,20";"0,00";"1,30"
"perjantai 8.4.2022 20:00";"0,90";"0,00";"1,20"
"perjantai 8.4.2022 21:00";"1,22";"0,00";"1,00"
"perjantai 8.4.2022 22:00";"1,27";"0,00";"0,60"
"perjantai 8.4.2022 23:00";"1,19";"0,00";"0,40"
"lauantai 9.4.2022 00:00";"4,03";"0,00";"0,10"
"lauantai 9.4.2022 01:00";"1,86";"0,00";"-0,20"
"lauantai 9.4.2022 02:00";"1,66";"0,00";"-0,30"
"lauantai 9.4.2022 03:00";"1,14";"0,00";"-0,40"
"lauantai 9.4.2022 04:00";"1,13";"0,00";"-0,30"
"lauantai 9.4.2022 05:00";"1,15";"0,00";"-0,30"
"lauantai 9.4.2022 06:00";"1,18";"0,00";"-0,40"
"lauantai 9.4.2022 07:00";"1,27";"0,00";"-0,20"
"lauantai 9.4.2022 08:00";"4,50";"0,00";"0,10"
"lauantai 9.4.2022 09:00";"1,69";"0,00";"0,50"
"lauantai 9.4.2022 10:00";"0,88";"0,00";"1,00"
"lauantai 9.4.2022 11:00";"0,00";"0,62";"2,90"
"lauantai 9.4.2022 12:00";"0,00";"2,17";"3,10"
"lauantai 9.4.2022 13:00";"0,00";"1,21";"4,10"
"lauantai 9.4.2022 14:00";"0,52";"0,00";"3,70"
"lauantai 9.4.2022 15:00";"0,00";"0,43";"4,50"
"lauantai 9.4.2022 16:00";"0,44";"0,00";"4,40"
"lauantai 9.4.2022 17:00";"0,94";"0,00";"3,30"
"lauantai 9.4.2022 18:00";"1,90";"0,00";"1,40"
"lauantai 9.4.2022 19:00";"0,80";"0,00";"0,90"
"lauantai 9.4.2022 20:00";"1,00";"0,00";"0,60"
"lauantai 9.4.2022 21:00";"1,05";"0,00";"0,60"
"lauantai 9.4.2022 22:00";"1,13";"0,00";"0,50"
"lauantai 9.4.2022 23:00";"1,11";"0,00";"0,40"
"sunnuntai 10.4.2022 00:00";"1,13";"0,00";"0,10"
"sunnuntai 10.4.2022 01:00";"1,27";"0,00";"0,00"
"sunnuntai 10.4.2022 02:00";"1,11";"0,00";"0,10"
"sunnuntai 10.4.2022 03:00";"1,15";"0,00";"0,20"
"sunnuntai 10.4.2022 04:00";"1,12";"0,00";"0,50"
"sunnuntai 10.4.2022 05:00";"1,13";"0,00";"0,50"
"sunnuntai 10.4.2022 06:00";"1,13";"0,00";"0,70"
"sunnuntai 10.4.2022 07:00";"3,44";"0,00";"0,80"
"sunnuntai 10.4.2022 08:00";"1,79";"0,00";"1,50"
"sunnuntai 10.4.2022 09:00";"1,23";"0,00";"1,60"
"sunnuntai 10.4.2022 10:00";"0,00";"0,13";"2,10"
"sunnuntai 10.4.2022 11:00";"0,00";"0,52";"2,80"
"sunnuntai 10.4.2022 12:00";"0,00";"0,69";"3,30"
"sunnuntai 10.4.2022 13:00";"0,00";"1,21";"4,20"
"sunnuntai 10.4.2022 14:00";"0,00";"0,90";"5,50"
"sunnuntai 10.4.2022 15:00";"0,00";"0,88";"5,90"
"sunnuntai 10.4.2022 16:00";"0,73";"0,00";"6,20"
"sunnuntai 10.4.2022 17:00";"4,67";"0,00";"5,90"
"sunnuntai 10.4.2022 18:00";"3,62";"0,00";"4,50"
"sunnuntai 10.4.2022 19:00";"4,05";"0,00";"3,60"
"sunnuntai 10.4.2022 20:00";"1,10";"0,00";"3,20"
"sunnuntai 10.4.2022 21:00";"0,81";"0,00";"2,60"
"sunnuntai 10.4.2022 22:00";"0,77";"0,00";"2,60"
"sunnuntai 10.4.2022 23:00";"1,09";"0,00";"2,70"
"maanantai 11.4.2022 00:00";"4,46";"0,00";"3,00"
"maanantai 11.4.2022 01:00";"1,79";"0,00";"3,00"
"maanantai 11.4.2022 02:00";"0,90";"0,00";"2,60"
"maanantai 11.4.2022 03:00";"1,08";"0,00";"1,70"
"maanantai 11.4.2022 04:00";"1,09";"0,00";"1,30"
"maanantai 11.4.2022 05:00";"3,84";"0,00";"0,90"
"maanantai 11.4.2022 06:00";"0,99";"0,00";"0,80"
"maanantai 11.4.2022 07:00";"2,54";"0,00";"1,80"
"maanantai 11.4.2022 08:00";"0,91";"0,00";"3,00"
"maanantai 11.4.2022 09:00";"0,00";"0,58";"4,00"
"maanantai 11.4.2022 10:00";"0,00";"1,56";"4,80"
"maanantai 11.4.2022 11:00";"0,00";"2,09";"5,70"
"maanantai 11.4.2022 12:00";"0,00";"1,36";"6,20"
"maanantai 11.4.2022 13:00";"0,00";"2,32";"6,90"
"maanantai 11.4.2022 14:00";"0,00";"1,36";"7,30"
"maanantai 11.4.2022 15:00";"0,00";"0,47";"7,60"
"maanantai 11.4.2022 16:00";"0,00";"1,06";"8,30"
"maanantai 11.4.2022 17:00";"0,00";"0,86";"17,20"
"maanantai 11.4.2022 18:00";"0,00";"0,06";"12,70"
"maanantai 11.4.2022 19:00";"0,74";"0,00";"7,50"
"maanantai 11.4.2022 20:00";"1,24";"0,00";"4,50"
"maanantai 11.4.2022 21:00";"0,84";"0,00";"2,80"
"maanantai 11.4.2022 22:00";"1,24";"0,00";"1,80"
"maanantai 11.4.2022 23:00";"1,22";"0,00";"0,80"
"tiistai 12.4.2022 00:00";"5,92";"0,00";"0,10"
"tiistai 12.4.2022 01:00";"3,69";"0,00";"-0,40"
"tiistai 12.4.2022 02:00";"2,47";"0,00";"-0,40"
"tiistai 12.4.2022 03:00";"3,82";"0,00";"0,30"
"tiistai 12.4.2022 04:00";"1,12";"0,00";"0,60"
"tiistai 12.4.2022 05:00";"2,11";"0,00";"0,50"
"tiistai 12.4.2022 06:00";"2,94";"0,00";"-0,20"
"tiistai 12.4.2022 07:00";"1,87";"0,00";"-0,20"
"tiistai 12.4.2022 08:00";"0,60";"0,00";"1,60"
"tiistai 12.4.2022 09:00";"0,00";"0,28";"3,50"
"tiistai 12.4.2022 10:00";"0,00";"1,25";"4,90"
"tiistai 12.4.2022 11:00";"0,00";"2,05";"6,30"
"tiistai 12.4.2022 12:00";"0,00";"1,71";"7,80"
"tiistai 12.4.2022 13:00";"0,00";"0,94";"8,30"
"tiistai 12.4.2022 14:00";"0,00";"1,76";"8,40"
"tiistai 12.4.2022 15:00";"0,00";"1,87";"9,80"
"tiistai 12.4.2022 16:00";"0,00";"1,62";"10,40"
"tiistai 12.4.2022 17:00";"0,00";"0,54";"18,30"
"tiistai 12.4.2022 18:00";"0,38";"0,00";"14,90"
"tiistai 12.4.2022 19:00";"1,04";"0,00";"9,10"
"tiistai 12.4.2022 20:00";"1,21";"0,00";"6,00"
"tiistai 12.4.2022 21:00";"0,95";"0,00";"4,00"
"tiistai 12.4.2022 22:00";"0,46";"0,00";"2,50"
"tiistai 12.4.2022 23:00";"0,50";"0,00";"1,90"
"keskiviikko 13.4.2022 00:00";"1,00";"0,00";"1,10"
"keskiviikko 13.4.2022 01:00";"1,10";"0,00";"0,50"
"keskiviikko 13.4.2022 02:00";"1,17";"0,00";"0,10"
"keskiviikko 13.4.2022 03:00";"5,66";"0,00";"-0,60"
"keskiviikko 13.4.2022 04:00";"3,05";"0,00";"-1,00"
"keskiviikko 13.4.2022 05:00";"1,62";"0,00";"-1,40"
"keskiviikko 13.4.2022 06:00";"2,84";"0,00";"-1,40"
"keskiviikko 13.4.2022 07:00";"2,98";"0,00";"-0,50"
"keskiviikko 13.4.2022 08:00";"0,90";"0,00";"1,40"
"keskiviikko 13.4.2022 09:00";"0,00";"0,40";"2,70"
"keskiviikko 13.4.2022 10:00";"0,00";"1,32";"4,20"
"keskiviikko 13.4.2022 11:00";"0,00";"1,18";"5,60"
"keskiviikko 13.4.2022 12:00";"0,00";"1,92";"6,50"
"keskiviikko 13.4.2022 13:00";"0,00";"1,73";"7,70"
"keskiviikko 13.4.2022 14:00";"0,00";"1,95";"8,50"
"keskiviikko 13.4.2022 15:00";"0,00";"0,88";"9,70"
"keskiviikko 13.4.2022 16:00";"0,00";"0,14";"10,20"
"keskiviikko 13.4.2022 17:00";"0,00";"0,04";"10,80"
"keskiviikko 13.4.2022 18:00";"0,23";"0,00";"7,20"
"keskiviikko 13.4.2022 19:00";"0,75";"0,00";"5,70"
"keskiviikko 13.4.2022 20:00";"1,15";"0,00";"4,70"
"keskiviikko 13.4.2022 21:00";"1,30";"0,00";"3,90"
"keskiviikko 13.4.2022 22:00";"0,76";"0,00";"3,50"
"keskiviikko 13.4.2022 23:00";"0,94";"0,00";"2,80"
"torstai 14.4.2022 00:00";"0,98";"0,00";"2,70"
"torstai 14.4.2022 01:00";"0,98";"0,00";"2,60"
"torstai 14.4.2022 02:00";"0,98";"0,00";"2,50"
"torstai 14.4.2022 03:00";"0,97";"0,00";"2,40"
"torstai 14.4.2022 04:00";"1,00";"0,00";"2,10"
"torstai 14.4.2022 05:00";"1,03";"0,00";"2,00"
"torstai 14.4.2022 06:00";"1,02";"0,00";"2,00"
"torstai 14.4.2022 07:00";"1,36";"0,00";"2,20"
"torstai 14.4.2022 08:00";"0,82";"0,00";"2,90"
"torstai 14.4.2022 09:00";"0,86";"0,00";"3,30"
"torstai 14.4.2022 10:00";"0,70";"0,00";"3,40"
"torstai 14.4.2022 11:00";"1,32";"0,00";"3,60"
"torstai 14.4.2022 12:00";"0,81";"0,00";"3,60"
"torstai 14.4.2022 13:00";"0,87";"0,00";"3,90"
"torstai 14.4.2022 14:00";"0,92";"0,00";"3,80"
"torstai 14.4.2022 15:00";"0,97";"0,00";"3,80"
"torstai 14.4.2022 16:00";"0,89";"0,00";"4,00"
"torstai 14.4.2022 17:00";"0,46";"0,00";"3,70"
"torstai 14.4.2022 18:00";"0,67";"0,00";"3,70"
"torstai 14.4.2022 19:00";"1,01";"0,00";"3,40"
"torstai 14.4.2022 20:00";"1,35";"0,00";"3,10"
"torstai 14.4.2022 21:00";"1,10";"0,00";"2,90"
"torstai 14.4.2022 22:00";"1,02";"0,00";"2,80"
"torstai 14.4.2022 23:00";"1,01";"0,00";"2,00"
